Date,s_Aus,s_ch_Aus,r_Aus,r_US
6/30/1996,1.26,0.793650794,1.791291757,1.236862754
9/30/1996,1.27,-0.787401575,1.703476112,1.260948993
12/31/1996,1.26,2.380952381,1.548652286,1.219992152
3/31/1997,1.29,0.775193798,1.421885147,1.241681377
6/30/1997,1.3,4.615384615,1.371524912,1.244090431
9/30/1997,1.36,5.882352941,1.198288976,1.241681377
12/31/1997,1.44,4.166666667,1.195876649,1.248908022
3/31/1998,1.5,6,1.20311311,1.246499312
6/30/1998,1.59,5.031446541,1.198288976,1.229633529
9/30/1998,1.67,-4.191616766,1.207936556,1.198288976
12/31/1998,1.6,-1.25,1.145177901,1.060510182
3/31/1999,1.58,-3.164556962,1.145177901,1.087142966
6/30/1999,1.53,0.653594771,1.145177901,1.096822398
9/30/1999,1.54,0.649350649,1.162085954,1.152425248
12/31/1999,1.55,1.935483871,1.219992152,1.239272151
3/31/2000,1.58,7.594936709,1.366724783,1.357122478
6/30/2000,1.7,2.352941176,1.443445159,1.412298504
9/30/2000,1.74,8.045977011,1.522381157,1.469777631
12/31/2000,1.88,0,1.515212763,1.476955657
3/31/2001,1.88,3.723404255,1.342713903,1.20311311
6/30/2001,1.95,0,1.178985534,0.90756983
9/30/2001,1.95,0,1.162085954,0.807662429
12/31/2001,1.95,-1.025641026,1.031432202,0.48643913
3/31/2002,1.93,-6.21761658,1.041127652,0.429722139
6/30/2002,1.81,1.104972376,1.147593857,0.427254003
